@RELATION stats
@ATTRIBUTE turnsPlayed NUMERIC
@ATTRIBUTE survive {true, false}
@ATTRIBUTE fleetGenerated NUMERIC
@ATTRIBUTE fleetLost NUMERIC
@ATTRIBUTE fleetReinforced NUMERIC
@ATTRIBUTE largestAttack NUMERIC
@ATTRIBUTE largestLoss NUMERIC
@ATTRIBUTE largestReinforcement NUMERIC
@ATTRIBUTE planetsLost NUMERIC
@ATTRIBUTE planetsConquered NUMERIC
@ATTRIBUTE planetsDefended NUMERIC
@ATTRIBUTE planetsAttacked NUMERIC
@ATTRIBUTE numFleetLost NUMERIC
@ATTRIBUTE numFleetReinforced NUMERIC
@ATTRIBUTE numFleetGenerated NUMERIC
@ATTRIBUTE totalTroopsGenerated NUMERIC
@DATA
344,false,5394,3661,1512,55,50,35,40,39,87,387,348,151,538,4822
345,true,14351,1673,12242,55,50,150,30,51,330,154,103,686,840,21518
118,false,75,65,10,10,10,2,1,0,0,25,25,5,30,62
291,false,237,90,143,12,12,30,3,2,5,31,29,18,49,110
272,true,20187,969,19084,40,26,114,12,26,207,146,120,1053,1199,19516
271,false,2285,1745,413,28,28,40,20,19,69,219,200,43,262,2140
272,true,18151,912,17056,47,39,412,15,23,162,95,72,770,865,14693
270,false,2098,1379,635,35,35,40,15,14,52,224,210,77,301,1920
521,false,8560,4911,3312,40,37,34,79,78,237,632,554,442,1074,7164
522,true,28172,974,27030,32,30,2009,26,27,174,152,125,447,599,4671
472,false,6125,3135,2679,35,35,45,61,60,232,403,343,343,746,5389
522,true,90562,4604,85059,78,34,1063,105,130,609,627,497,2972,3599,62937
165,false,97,75,22,5,5,2,2,1,10,63,62,23,86,88
104,false,63,40,23,5,5,3,1,0,4,37,37,23,60,60
513,false,8687,6099,2137,74,74,56,88,87,288,798,711,297,1095,9154
514,true,32296,3784,27357,132,82,315,73,104,556,513,409,1059,1572,39182
137,false,108,51,57,7,7,6,1,0,0,28,28,32,60,60
367,false,1291,589,650,41,41,31,15,14,29,104,90,106,210,750
568,true,70571,8293,53685,251,88,1319,135,168,764,723,555,1563,2316,54953
567,false,20948,11605,7787,123,102,203,144,143,439,954,811,615,1569,18900
258,false,751,435,286,30,16,21,10,9,16,82,73,40,122,583
665,true,121208,5507,113811,74,52,587,150,173,782,565,392,3949,4514,64488
664,false,23977,12556,9620,76,76,60,239,238,650,1467,1229,954,2421,20092
665,true,76599,3038,72531,87,42,544,84,93,429,455,362,1727,2182,25070
657,true,91028,8522,78233,346,158,656,83,106,425,394,288,1377,1771,62257
656,false,22311,12445,8500,176,147,163,91,90,233,542,452,366,908,20043
119,false,150,55,95,7,7,8,1,0,0,21,21,39,60,60
116,false,145,51,94,7,7,7,1,0,0,22,22,37,59,60
463,false,65756,63,65693,5,5,1826,2,1,291,56,55,276,332,2839
556,false,3137,2189,931,36,36,61,10,9,7,727,718,269,996,1941
561,true,71746,865,65791,871,47,1284,0,33,911,131,98,783,914,34452
560,false,4622,3275,1338,57,57,67,11,10,1,849,839,315,1164,3827
300,false,1562,1400,145,25,25,10,6,5,0,224,219,25,249,1279
301,true,20413,722,19336,75,43,238,1,17,107,44,27,920,964,19954
210,false,879,605,274,25,25,15,1,0,0,102,102,44,146,730
301,true,8976,770,7963,94,50,90,0,14,160,57,43,416,473,18744
349,true,24109,530,16325,69,33,386,13,19,129,82,63,382,533,6751
180,false,925,513,397,37,30,40,5,4,4,75,71,38,113,684
349,true,43140,2246,31096,60,32,326,49,67,260,261,194,1636,2003,23753
348,false,6016,3829,1702,50,44,30,67,66,189,422,356,187,609,5561
547,true,44599,1000,43420,32,14,278,33,49,202,327,278,1895,2222,26877
546,false,3218,2142,936,28,27,16,63,62,201,628,566,320,948,2979
547,true,34055,650,33276,25,11,436,24,30,221,192,162,1003,1195,15632
199,false,151,29,122,4,4,5,1,0,0,19,19,76,95,97
241,false,625,472,148,50,50,15,6,5,4,52,47,14,66,568
242,true,8220,1732,5928,85,56,87,2,35,70,118,83,315,440,23622
152,false,246,236,10,13,13,6,1,0,0,54,54,3,57,126
156,false,268,91,177,12,12,16,1,0,1,21,21,38,59,134
304,true,6115,154,5955,10,10,322,5,6,30,51,45,177,228,2285
141,false,134,97,35,10,10,3,2,1,0,38,37,17,55,110
304,true,19733,1077,18490,30,22,269,22,43,134,190,147,1160,1350,26058
303,false,1528,1244,194,30,21,17,28,27,39,255,228,34,289,1440
306,true,1880,75,1670,120,60,194,0,2,203,2,0,32,34,4680
266,false,2612,1805,792,35,35,15,5,4,2,276,272,124,400,1982
